user,t,item,feat_0,feat_1
8615,5,1952,4708,20
8615,6,2217,3592,44
8615,7,4943,1027,51
8615,7,9278,1027,51
8615,8,3640,2945,16
8615,9,494,1169,16
8615,10,5888,2204,55
8615,11,8190,569,44
8615,12,2836,76,23
8615,13,5572,500,14
8615,14,6429,2437,10
8615,14,117,4365,65
8615,15,4720,4365,57
8615,16,2022,3592,44
8615,17,7361,2486,10
8615,18,479,1027,51
8615,18,6505,1027,51
8615,19,5586,3255,44
8615,19,1098,2403,20
8615,20,1935,4311,20
8615,21,9286,3181,44
8615,22,3838,2486,10
8615,23,3640,2945,16
8615,23,5895,920,15
8615,24,7971,3095,51
8615,24,2338,3095,51
8615,25,9791,2930,20
8615,26,9278,1027,51
8615,26,6505,1027,51
8615,26,4943,1027,51
8615,26,5110,1027,51
8615,27,1881,2186,44
8615,27,3640,2945,16
8615,28,9286,3181,44
8615,29,1923,2098,23
8615,30,3090,2953,66
8615,31,5110,1027,51
8615,31,9278,1027,51
8615,32,8278,3834,0
8615,33,6429,2437,10
304,0,3714,2068,38
304,1,896,526,44
304,1,897,526,44
304,2,5128,2102,9
304,2,167,2140,14
304,2,1689,4653,22
304,2,6461,4653,22
304,3,2492,3908,55
304,4,5721,4464,47
304,4,5827,725,47
304,4,5517,3107,47
304,4,6149,725,47
304,5,6606,3107,47
304,6,8329,2133,51
304,7,5057,2544,43
304,8,5417,3431,22
304,9,9765,3846,66
304,9,9765,3846,66
6193,0,6142,474,32
1523,0,5104,2511,20
1523,0,5104,2511,20
1523,1,7612,3649,17
1523,1,7612,3649,17
1523,2,2287,1611,20
1523,3,5488,4534,45
1523,3,5488,4534,45
1523,4,2382,1665,47
1523,4,2382,1665,47
1523,5,5570,916,20
1523,6,924,778,45
1523,7,6750,2262,20
1523,7,6750,2262,20
1523,7,3049,2262,20
1523,7,980,2262,20
1523,7,3102,2262,20
1523,7,6077,2262,20
1523,8,9628,3922,47
1523,9,3878,2262,20
1523,9,6077,2262,20
1523,10,5486,2029,20
1523,10,5486,2029,20
1523,11,5390,1591,51
1523,12,594,2918,14
1523,12,594,2918,14
1523,13,5365,740,47
1523,14,4277,3098,44
1523,15,6077,2262,20
1523,16,6913,2029,20
1523,17,1227,1239,20
1523,18,1612,269,14
1523,18,2676,269,14
1523,18,9123,269,14
1523,18,2323,269,14
1523,18,7251,269,14
1523,18,4340,269,14
1523,18,7092,269,14
1523,18,6213,269,47
1523,18,453,269,47
1523,19,2676,269,14
1523,19,8903,269,14
1523,19,1612,269,14
1523,19,4677,269,14
1523,19,2323,269,14
1523,19,7251,269,14
1523,19,8644,269,14
3454,0,2506,1318,32
3454,0,2506,1318,32
3454,1,6615,3074,60
3454,1,369,3074,60
3454,1,369,3074,60
3454,1,369,3074,60
3454,2,2506,1318,32
3454,2,2506,1318,32
3454,3,2506,1318,32
3454,4,2306,57,55
3454,5,5658,3217,55
3454,6,9727,516,64
3454,7,5943,753,22
3454,8,9327,3752,50
3454,8,9327,3752,50
3454,8,9327,3752,50
3454,8,9327,3752,50
3454,9,8116,1873,64
3454,10,3369,1873,64
3454,11,6546,1012,36
3454,12,6705,416,38
3454,13,7169,2162,32
777,0,4677,269,14
777,0,9141,269,14
777,0,5081,269,14
777,0,4087,269,14
777,0,4207,269,14
777,0,1484,269,14
777,1,1486,269,14
777,1,5869,269,14
777,1,6541,269,14
777,1,6919,269,14
777,1,9123,269,14
777,1,9297,269,14
777,1,4677,269,14
777,1,7329,269,14
777,1,2676,269,14
777,2,4087,269,14
777,2,1484,269,14
777,2,1486,269,14
777,2,8644,269,14
777,2,8144,269,14
777,2,669,269,14
777,2,6541,269,14
777,2,2676,269,14
777,2,5869,269,14
777,3,2036,3487,55
777,4,8931,269,14
777,4,1291,269,14
777,4,4677,269,14
777,4,2878,269,14
777,4,1441,269,14
777,4,9123,269,14
777,5,8931,269,14
777,5,1291,269,14
777,5,540,269,14
777,5,6919,269,14
777,5,1486,269,14
777,5,4207,269,14
777,5,4207,269,14
777,5,1484,269,14
777,5,8207,269,14
777,6,540,269,14
777,6,4677,269,14
777,6,5869,269,14
777,6,4087,269,14
777,6,2260,269,14
777,6,3914,269,14
777,6,8903,269,14
777,6,1484,269,14
777,6,3150,269,14
777,7,7209,269,14
777,7,3390,269,14
777,7,1484,269,14
777,7,1691,269,14
777,7,1486,269,14
777,7,6541,269,14
777,8,8431,4526,23
777,9,8644,269,14
777,9,1484,269,14
777,9,3390,269,14
777,9,5733,269,14
777,9,3766,269,14
777,9,2443,269,14
777,9,9689,269,14
777,10,1555,283,16
777,11,7998,4403,66
5050,0,9661,1817,65
5050,1,7612,3649,17
5050,2,9193,269,14
5050,2,3803,269,14
5050,2,4335,269,45
9330,0,7136,1843,65
9330,0,7136,1843,65
9330,0,1011,1843,65
9330,1,2338,3095,51
9330,2,3627,3107,65
9330,2,3627,3107,65
9330,2,3627,3107,65
9330,2,1263,3107,47
9330,2,4832,3107,65
9330,2,4786,1152,47
9330,2,3012,3107,47
9330,2,3522,3107,65
9330,2,4120,3107,47
9330,2,9222,3107,65
9330,3,5697,458,14
9330,3,3677,458,14
9330,3,7989,458,14
9330,3,4306,458,14
9330,4,2565,1152,65
9330,4,4786,1152,47
9330,5,8280,4765,32
9330,6,2565,1152,65
9330,7,2793,1616,32
9330,7,2793,1616,32
9330,8,4,1874,47
9330,9,2793,1616,32
9330,9,8667,1616,32
9330,10,8482,458,14
9330,10,81,458,14
9330,11,5044,1616,32
9330,12,6680,2127,64
9330,12,6680,2127,64
9330,12,6680,2127,64
9330,13,8126,4445,64
8016,0,1484,269,14
8016,0,7251,269,14
8016,0,6919,269,14
8016,0,9273,269,14
8016,0,5869,269,14
8016,0,4087,269,14
8016,0,7329,269,14
8016,1,6340,4293,23
8016,2,9793,2029,20
8016,3,7329,269,14
8016,3,6919,269,14
8016,3,1484,269,14
8016,4,7329,269,14
8016,4,9273,269,14
8016,5,6215,269,14
8016,5,1358,1012,32
8016,5,8455,1012,1
8016,5,4984,1012,32
8016,6,486,4226,21
8016,6,6574,812,42
8016,7,5733,269,14
8016,7,8608,269,45
8016,7,3282,269,14
8016,7,7456,269,47
8016,8,5869,269,14
8016,8,5733,269,14
8016,8,5498,269,45
8016,8,2648,269,47
8016,8,8644,269,14
8016,8,7092,269,14
8016,8,3150,269,14
8016,8,7456,269,47
8016,9,5498,269,45
8016,9,5733,269,14
8016,9,3282,269,14
8016,9,6304,269,14
8016,9,8845,118,29
8016,10,7866,269,14
8016,10,1691,269,14
8016,10,7092,269,14
8016,10,7329,269,14
8016,10,2464,269,14
8016,10,1486,269,14
8016,11,3883,2119,19
8016,12,4553,269,47
8016,12,2464,269,14
8016,12,198,269,47
8016,12,9504,269,14
8016,12,1691,269,14
8016,13,9279,1012,1
1270,0,6172,3818,44
1270,1,1658,2674,55
1270,2,6738,2674,55
1270,3,2136,4182,44
1270,3,2136,4182,44
1270,3,7612,3649,17
1270,4,3278,1484,44
1270,5,4651,66,14
1270,6,4651,66,14
1270,7,7491,3557,30
1270,7,1552,3557,30
1270,7,1552,3557,30
1270,7,1552,3557,30
1270,8,3338,30,50
1270,9,3338,30,50
1270,9,3338,30,50
1270,9,3338,30,50
1270,10,5030,3585,35
1270,11,7765,1332,64
456,0,6072,3728,32
456,0,6072,3728,32
456,0,2055,3728,32
456,0,2055,3728,32
456,1,1738,2,60
456,1,1738,2,60
456,2,3860,1156,14
456,2,3860,1156,14
456,3,3048,398,63
456,4,7612,3649,17
456,5,8787,1472,51
456,5,1146,1472,22
456,5,1146,1472,22
3653,0,945,1148,2
3653,1,3539,1327,20
3653,1,6704,1327,20
3653,1,4542,1327,20
3653,1,3694,1327,20
3653,1,6394,1327,20
3653,1,2050,1327,20
3653,2,2078,4325,23
3653,3,3690,1327,20
3653,3,8478,1327,20
3653,3,6823,1327,20
3653,4,4995,4359,65
3653,5,7190,592,58
3653,6,5574,888,32
3653,7,9036,1012,35
3653,8,7190,592,58
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,9,8591,1767,66
3653,10,1431,4481,58
3653,10,1431,4481,58
3653,10,1431,4481,58
4739,0,498,1803,55
4739,1,4249,4222,20
4739,1,8491,4222,20
4739,1,7441,4222,20
4739,2,8556,3183,58
4739,2,8556,3183,58
4739,2,8556,3183,58
4739,3,3870,2771,54
4739,4,3539,1327,20
4739,4,8344,1327,20
4739,4,3694,1327,20
4739,4,9321,1327,20
4739,5,3694,1327,20
4739,5,3694,1327,20
4739,5,3453,1327,20
4739,5,3453,1327,20
4739,6,6199,490,63
4739,6,6199,490,63
4739,7,5718,126,0
4739,8,7489,632,58
4739,8,7489,632,58
4739,8,7489,632,58
4739,8,7489,632,58
4739,8,7489,632,58
4739,9,3523,1187,50
4739,9,171,1187,50
1538,0,884,926,22
1538,1,8552,2710,20
1538,1,8552,2710,20
1538,2,8552,2710,20
1538,2,8552,2710,20
1538,3,8737,4567,15
1538,4,2197,3294,58
1538,5,3663,3992,0
1538,6,7140,1428,39
7596,0,7612,3649,17
7596,1,7612,3649,17
7596,2,9602,3984,44
7596,3,7612,3649,17
7596,4,7612,3649,17
7596,5,7612,3649,17
7596,6,7612,3649,17
7596,7,7612,3649,17
7596,8,7735,1327,20
7596,8,2819,1327,20
7596,9,7612,3649,17
7596,10,7612,3649,17
7596,11,7612,3649,17
7596,12,7612,3649,17
7596,13,7612,3649,17
6299,0,1681,2377,19
6299,0,680,2377,54
6299,1,4106,2377,54
6299,1,1471,2377,19
653,0,4071,568,57
653,0,4071,568,57
653,1,5548,3107,65
653,1,4544,3107,65
653,1,4832,3107,65
653,1,7817,3107,47
653,1,6557,3107,47
653,1,8943,3107,65
653,1,9825,3107,45
653,2,5517,3107,47
653,2,4572,2182,47
653,3,2613,3107,47
653,3,2598,2182,47
653,3,8509,3107,47
653,3,4569,2182,47
653,4,9306,2182,65
653,4,6647,2182,47
653,4,8546,2182,65
653,5,6490,4222,20
653,5,5208,4222,20
653,5,1706,4222,20
8368,0,4465,2377,55
8368,1,3605,1979,47
8368,2,4113,771,14
8368,3,4113,771,14
8368,4,4113,771,14
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,5,7772,1255,23
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,6,3002,3961,57
8368,7,9700,2048,65
7134,0,5644,2057,32
7134,1,8027,2914,51
7134,2,3799,2530,47
7134,2,918,2530,47
7134,3,5748,269,14
7134,3,8903,269,14
7134,3,1430,269,14
7134,3,8164,269,14
7134,3,3766,269,14
7134,4,8228,4572,66
7134,5,7511,4222,20
7134,5,678,4222,20
7134,5,8491,4222,20
7134,5,8782,4222,20
7134,5,5516,4222,20
7134,5,9637,4222,20
7134,5,1000,4222,20
7134,5,9583,4222,20
7134,5,5060,4222,20
7134,5,794,4222,20
7134,5,186,4222,20
7134,6,9637,4222,20
7134,7,3951,4137,14
7134,8,2758,4572,66
7019,0,8917,3792,44
7019,0,6744,3792,44
7019,1,2968,3615,62
4781,0,8449,4182,44
4781,1,7043,3621,27
4781,2,5669,2049,52
4781,3,8201,683,31
4781,3,400,3792,44
4781,3,400,3792,44
4781,4,5251,1955,52
4781,5,6589,818,23
4781,6,9494,4417,58
4781,6,9494,4417,58
4781,6,9494,4417,58
4781,6,9494,4417,58
4781,7,6992,3132,35
4781,8,2023,549,59
4781,9,8919,3934,63
4781,10,1927,2553,44
4781,11,206,1391,57
4781,12,1927,2553,44
4781,12,9799,4789,44
3616,0,3035,4559,58
3616,1,875,1805,58
3616,2,6679,3107,65
3616,2,8892,3107,65
3616,2,4268,3107,65
3616,2,7198,3107,65
3616,2,6557,3107,47
3616,2,5942,3107,47
3616,2,3888,3107,47
3616,2,5517,3107,47
3616,2,1238,3107,47
3616,2,7817,3107,47
3616,2,9858,3107,47
3616,2,3012,3107,47
3616,3,4534,3107,65
3616,4,1,3107,47
3616,4,2103,3107,45
3616,4,7894,3107,47
3616,4,3122,3107,47
3616,4,209,3107,65
3616,4,2862,3107,47
3616,4,3855,3107,14
3616,5,6365,3107,65
3616,5,3244,3107,47
3616,5,6557,3107,47
3616,5,3888,3107,47
3616,5,2862,3107,47
3616,6,7941,2917,12
3616,7,1470,3819,66
7534,0,5938,4187,50
7534,1,2057,4456,51
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,2,3210,1970,59
7534,3,291,89,0
7534,3,291,89,0
7534,4,4497,658,51
7534,5,5404,932,29
7534,6,2911,3735,0
7534,6,2911,3735,0
7534,6,2911,3735,0
7534,6,2911,3735,0
7534,7,4635,1684,66
9092,0,1140,1327,20
9092,0,2367,1327,20
9092,0,4259,1327,20
9092,0,6823,1327,20
9092,0,1234,1327,20
9092,0,9434,1327,20
9092,0,8706,1327,20
9092,0,3539,1327,20
9092,1,2899,3961,57
9092,1,2899,3961,57
9092,1,2899,3961,57
9092,1,503,3961,57
9092,1,503,3961,57
9092,2,7662,1520,36
4779,0,8144,269,14
4779,0,6919,269,14
4779,0,3896,269,14
4779,0,1851,269,14
4779,1,8624,2258,20
4779,2,3391,3387,66
4779,3,2388,269,14
4779,3,8903,269,14
4779,3,2386,269,14
4779,3,2309,269,14
4779,4,6905,269,14
4779,4,9193,269,14
4779,4,7737,269,14
4779,4,8909,269,47
4779,5,2322,2262,20
4779,5,3230,2262,20
4779,5,8422,2262,20
4779,5,5646,2262,20
4779,6,3766,269,14
4779,6,9193,269,14
4779,6,4340,269,14
4779,6,7456,269,47
4779,6,8903,269,14
4779,6,4677,269,14
4779,6,2260,269,14
4779,6,7737,269,14
4779,6,6905,269,14
4779,7,5982,771,14
4779,8,7975,269,14
4779,8,2309,269,14
4779,8,8773,269,14
4779,8,5056,269,14
4779,8,3766,269,14
4779,8,4553,269,47
4779,8,5733,269,14
4779,8,4495,269,14
4779,9,2676,269,14
4779,9,2201,269,14
4779,9,2309,269,14
4779,9,9193,269,14
4779,10,1313,3515,51
4779,11,2201,269,14
4779,11,3150,269,14
4779,11,5869,269,14
4779,11,2676,269,14
4779,11,4501,269,14
8219,0,2249,2262,20
8219,0,5850,2262,20
8219,1,5814,211,56
8219,2,11,4113,12
8219,3,4111,4742,63
8219,4,3762,2933,14
8219,5,9182,803,6
8219,6,1673,3254,51
8219,7,190,2262,20
8219,7,6750,2262,20
8219,7,1050,2262,20
8219,7,6601,2262,20
8219,7,8732,2262,20
8219,7,6425,2262,20
8219,7,328,2262,20
8219,7,9187,2262,20
8219,7,2631,2262,20
8219,7,9213,2262,20
8219,8,4899,4605,57
8219,9,4531,2268,52
8219,10,5985,3074,60
8219,10,5985,3074,60
8219,10,5985,3074,60
8219,10,5985,3074,60
8219,10,369,3074,60
8219,10,369,3074,60
8219,10,369,3074,60
8219,10,8522,3074,60
8219,10,8522,3074,60
8219,10,8522,3074,60
8219,10,369,3074,60
8219,11,3287,2325,20
8219,12,3287,2325,20
8219,13,4736,3107,47
6934,0,8563,1047,36
6934,1,9173,1606,52
6934,2,311,3935,58
6934,2,311,3935,58
6934,3,5387,1323,65
6934,4,461,4176,32
6934,5,7522,345,57
6934,6,8626,2948,57
6934,7,4576,2359,44
6934,8,1467,2242,21
6934,8,1467,2242,21
6934,8,1467,2242,21
6934,9,4415,913,64
1129,0,4435,1012,32
1129,0,6546,1012,36
1129,0,2689,1010,27
1129,0,7020,1012,27
1129,1,7420,1556,32
1129,2,180,1483,45
1129,3,6432,536,42
1129,4,6432,536,42
1129,5,2369,4025,58
1129,6,5952,1916,52
1129,6,8673,1916,52
1129,6,8673,1916,52
1129,6,1625,1916,52
1129,7,7443,2902,58
1129,7,7443,2902,58
1129,7,5099,2121,23
8860,0,7612,3649,17
8860,0,7612,3649,17
8860,1,7138,349,58
8860,1,7436,4255,32
8860,2,4357,154,42
8860,3,7612,3649,17
8860,3,7612,3649,17
8860,4,7138,349,58
8860,5,1130,337,58
8860,6,6050,2764,23
8860,6,7238,2764,64
8860,6,7238,2764,64
8860,7,5888,2204,55
8860,8,7612,3649,17
8860,9,5392,4656,32
8860,9,5392,4656,32
8860,10,7612,3649,17
8860,11,1130,337,58
8860,12,4065,1258,64
8860,13,8109,3678,54
8860,14,1207,3805,58
8860,14,1207,3805,58
8860,15,7244,4730,58
8860,16,7612,3649,17
8860,17,7853,4534,20
8860,18,7612,3649,17
8860,19,3592,349,58
8860,19,3592,349,58
8860,20,838,3111,58
8860,20,838,3111,58
8860,21,6958,285,58
8860,22,9067,1541,15
8860,22,9067,1541,15
8860,22,7238,2764,64
8860,22,7238,2764,64
8860,22,7213,3523,42
417,0,9639,518,63
417,1,4438,2534,44
417,2,6595,2471,52
417,2,2403,1188,9
417,3,1638,1623,21
417,3,9181,3631,32
417,4,2217,3592,44
417,5,8848,103,44
417,6,3941,2534,44
417,7,1717,2359,44
417,8,4900,3494,66
417,8,4900,3494,66
417,8,296,2831,65
417,8,9639,518,63
417,9,6532,553,32
417,10,4870,2359,44
417,11,8437,909,63
417,12,3139,2309,47
417,13,1881,2186,44
417,14,5888,2204,55
417,14,8648,3592,44
417,15,2022,3592,44
417,16,4382,4293,23
417,16,7654,2001,9
417,17,8668,4510,14
417,17,8262,927,9
417,17,1133,262,29
417,18,8655,3149,63
417,19,2991,3181,44
417,20,5128,2102,9
417,20,1098,2403,20
417,20,8935,2784,44
417,21,618,2359,44
417,22,405,1309,60
417,23,5270,2359,44
417,24,4870,2359,44
417,25,8841,2147,44
417,26,1227,1239,20
417,27,8463,3667,23
417,28,4590,1734,20
417,29,3067,2793,44
417,29,48,2167,44
417,30,8331,3257,20
417,31,3947,2445,58
417,32,4687,3904,58
417,33,2164,2264,0
417,33,8278,3834,0
417,34,1321,2577,44
8508,0,720,3235,12
8508,1,9194,476,20
8508,1,9194,476,20
753,0,1825,1583,20
753,1,4905,1357,52
753,1,4905,1357,52
753,2,1517,1450,29
753,3,3436,2531,9
753,4,829,3227,66
753,5,9851,2794,25
753,6,1825,1583,20
753,7,7006,916,20
753,7,4292,4184,20
753,8,4655,2882,52
753,9,9109,14,10
753,10,3711,450,64
753,10,3711,450,64
753,11,5637,3378,20
753,11,22,3378,20
753,12,2008,1912,42
753,13,735,243,0
753,14,1051,2359,44
753,15,9851,2794,25
753,16,4268,3107,65
753,16,5517,3107,47
753,17,742,3107,45
753,17,1370,3107,47
753,18,7029,269,14
753,18,9737,269,14
753,19,3512,2045,20
623,0,9315,3107,65
623,0,9315,3107,65
623,0,4736,3107,47
623,0,4736,3107,47
623,0,7612,3649,17
623,0,2484,3922,45
623,1,8665,1214,2
623,2,338,3107,47
623,2,7100,4570,35
623,3,7904,3291,0
623,4,7612,3649,17
623,5,4651,66,14
623,6,8645,775,20
623,7,7612,3649,17
623,8,7612,3649,17
623,9,7810,4367,42
623,10,6407,3855,20
623,10,6386,3855,20
623,11,7612,3649,17
623,11,7612,3649,17
623,12,9347,1597,20
623,13,7612,3649,17
623,14,3881,4024,64
623,14,3881,4024,64
623,15,7372,4453,50
623,15,7372,4453,50
623,16,4779,2925,64
623,17,3839,1249,64
623,17,3839,1249,64
623,17,5222,643,64
623,18,5075,4365,23
623,19,1173,2200,29
623,20,8737,4567,15
623,21,7612,3649,17
623,22,9172,4609,39
6117,0,3264,2993,5
6117,1,8740,1516,58
6117,1,8740,1516,58
6117,1,8740,1516,58
6117,2,6365,3107,65
6117,2,8674,3107,47
6117,2,2652,3107,47
6117,2,1370,3107,47
6117,2,3888,3107,47
6117,3,9844,2240,22
6117,4,676,4581,53
6117,5,4444,267,35
6117,6,6225,2431,20
6117,7,7906,788,5
4002,0,6300,2350,23
4002,1,4977,1391,57
4002,2,649,813,25
4002,2,649,813,25
4002,3,649,813,25
4002,3,649,813,25
4002,3,649,813,25
4002,3,649,813,25
4002,3,649,813,25
4002,4,6269,420,38
4002,4,6269,420,38
4002,4,6269,420,38
4002,4,6269,420,38
4002,4,6269,420,38
4002,4,6269,420,38
892,0,9020,2359,44
892,0,897,526,44
892,1,6607,882,18
892,1,6607,882,18
892,1,4779,2925,64
892,2,7612,3649,17
3260,0,8613,2202,65
3260,0,8613,2202,65
3260,0,8613,2202,65
3260,0,8613,2202,65
3260,1,4268,3107,65
3260,1,6365,3107,65
3260,2,4319,3014,66
3260,3,9128,2420,0
3260,3,1043,2420,0
3260,4,8613,2202,65
3260,4,8613,2202,65
3260,4,8613,2202,65
3260,5,7612,3649,17
3260,6,8613,2202,65
3260,6,8613,2202,65
3260,7,225,1731,64
3260,7,225,1731,64
3260,7,2179,4401,23
3260,7,2179,4401,23
3260,8,8613,2202,65
3260,8,8613,2202,65
3260,8,8613,2202,65
3260,9,8554,3511,54
3260,10,907,2935,66
4881,0,3276,1616,35
4881,1,9178,4623,51
4881,1,9178,4623,51
4881,1,9178,4623,51
4881,1,9178,4623,51
4881,1,9178,4623,51
4881,1,9178,4623,51
4881,1,9178,4623,51
4881,1,9178,4623,51
4881,1,912,834,51
4881,2,8018,3389,58
4881,3,9439,556,22
4881,3,9439,556,22
4881,3,7162,556,22
4881,3,7162,556,22
4881,4,2603,3352,23
4881,5,7864,1264,30
4881,5,7864,1264,30
4881,6,7914,4317,30
4881,6,636,4317,30
4881,6,824,4317,30
4881,6,7822,4317,30
4881,6,7822,4317,30
4881,6,5968,1365,54
4881,7,8163,501,54
4881,8,1437,4317,67
4881,8,1437,4317,67
4881,9,4101,1798,58
7103,0,7612,3649,17
7103,0,7612,3649,17
7103,1,4752,2174,52
7103,2,7612,3649,17
7103,3,4635,1684,66
7103,4,2372,1677,32
7103,5,8922,1650,16
7491,0,8687,1339,58
7491,0,8687,1339,58
7491,1,3673,3339,0
7491,2,5602,235,55
7491,3,7592,1419,20
7491,4,4382,4293,23
7491,5,261,2566,63
7491,5,261,2566,63
7491,6,552,3118,44
7491,6,8946,3118,44
7491,7,823,1504,54
7491,8,552,3118,44
7491,8,8946,3118,44
7491,9,6644,3200,9
7491,10,6033,2739,60
7491,10,4383,2739,60
7491,10,7743,2739,60
7491,10,8896,2739,60
7491,10,449,2739,60
7491,10,5701,2739,60
7491,10,8252,2739,60
7491,10,8252,2739,60
7491,10,8252,2739,60
7491,10,8252,2739,60
7491,10,8252,2739,60
7491,10,5946,2739,60
7491,11,4502,4137,14
7491,12,1897,4480,44
7491,13,2164,2264,0
7491,13,2164,2264,0
52,0,2602,2097,51
52,1,2157,3454,32
52,2,9635,4365,23
52,3,3640,2945,16
52,3,4314,1330,16
52,4,4483,57,55
52,5,5888,2204,55
52,5,9639,518,63
52,5,9286,3181,44
52,6,1329,2186,44
52,7,7488,2793,44
52,8,6720,2672,64
52,9,4314,1330,16
52,10,1638,1623,21
52,10,1638,1623,21
52,10,1638,1623,21
52,11,8088,2213,44
52,12,9416,3437,4
52,13,6532,553,32
52,14,4804,2497,31
52,15,5674,4691,31
52,16,3139,2309,47
52,17,8648,3592,44
52,17,3551,560,14
52,17,5888,2204,55
52,18,8969,2327,16
52,19,41,220,55
52,20,9151,3509,40
52,21,5876,2945,16
52,22,9309,2195,57
52,23,3580,2694,63
52,24,8311,4206,63
52,24,2836,76,23
52,25,775,103,63
52,26,210,394,16
52,27,2609,3809,58
52,28,4668,4364,55
52,29,6973,1581,63
52,30,1256,3020,51
52,31,3626,3868,58
52,32,3152,2945,21
52,32,410,560,14
52,33,8039,4436,64
52,34,9151,3509,40
52,35,3640,2945,16
52,36,6429,2437,10
52,36,410,560,14
52,36,2552,1415,58
52,37,5876,2945,16
52,37,9416,3437,4
52,38,6102,1378,55
52,39,9362,2062,16
52,40,4955,3205,32
52,40,4747,2716,2
52,40,8878,432,39
52,40,9151,3509,40
52,41,3640,2945,16
52,42,9639,518,63
52,42,3152,2945,21
52,43,4314,1330,16
52,43,5829,2120,55
52,44,9270,3716,16
52,44,8745,128,50
52,45,9037,425,16
52,46,3152,2945,21
4377,0,6020,1101,31
4377,1,7532,2720,12
